,name,salary,employer,info,site
23,Python-разработчик,"{'a_min_salary': 150000, 'b_max_salary': 350000, 'x_currency': 'руб'}",ООО СКИФ-Проект,https://hh.ru/vacancy/49616781?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
24,Senior Back-end Engineer (Python),"{'a_min_salary': 330000, 'b_max_salary': 520000, 'x_currency': 'руб'}",Corrily,https://hh.ru/vacancy/48855094?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
25,Python Developer,"{'a_min_salary': 150000, 'b_max_salary': 350000, 'x_currency': 'руб'}",ООО АСД Технолоджиз,https://hh.ru/vacancy/49478392?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
26,Программист Python,"{'a_min_salary': 200000, 'b_max_salary': None, 'x_currency': 'руб'}",Digift,https://hh.ru/vacancy/46547538?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
27,Разработчик Python/Django,"{'a_min_salary': 150000, 'b_max_salary': None, 'x_currency': 'руб'}",АО Концерн Энерготехнологии,https://hh.ru/vacancy/49051436?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
28,Python Developer,"{'a_min_salary': 120000, 'b_max_salary': 150000, 'x_currency': 'руб'}",ООО АльтероСмарт,https://hh.ru/vacancy/49286261?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
29,Python Backend Developer Middle \ Senior,"{'a_min_salary': 150000, 'b_max_salary': 200000, 'x_currency': 'руб'}",DEV-STACK,https://hh.ru/vacancy/49404415?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
30,Программист Python,"{'a_min_salary': 150000, 'b_max_salary': 220000, 'x_currency': 'руб'}",Деплов Сергей,https://hh.ru/vacancy/49627125?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
31,Python-разработчик,"{'a_min_salary': 120000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Корпорация ЗНАК,https://hh.ru/vacancy/49290473?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
32,Python Django developer,"{'a_min_salary': 110000, 'b_max_salary': 250000, 'x_currency': 'руб'}",ООО БОЛЬШАЯ ТРОЙКА,https://hh.ru/vacancy/48701378?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
33,Python developer,"{'a_min_salary': None, 'b_max_salary': 400000, 'x_currency': 'руб'}",Spice Agency,https://hh.ru/vacancy/47322083?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
34,Python developer (middle),"{'a_min_salary': 150000, 'b_max_salary': None, 'x_currency': 'руб'}",Fitingo,https://hh.ru/vacancy/49412262?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
35,Python разработчик (Django),"{'a_min_salary': 110000, 'b_max_salary': 180000, 'x_currency': 'руб'}",ООО Софтлекс,https://hh.ru/vacancy/48756399?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
36,Python developer (middle/senior),"{'a_min_salary': 120000, 'b_max_salary': 280000, 'x_currency': 'руб'}",Кадровое агентство Smart Business,https://hh.ru/vacancy/48195683?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
37,Backend-разработчик (Python),"{'a_min_salary': 50000, 'b_max_salary': 200000, 'x_currency': 'руб'}",ООО Онлайн Страхование,https://hh.ru/vacancy/49536845?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
38,Middle Data Engineer,"{'a_min_salary': 180000, 'b_max_salary': 250000, 'x_currency': 'руб'}",Educate Online Inc,https://hh.ru/vacancy/49244803?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
39,Программист Python,,Билайн,https://hh.ru/vacancy/49182984?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=1
40,Python developer,"{'a_min_salary': 2500, 'b_max_salary': 3900, 'x_currency': 'USD'}",B2Broker Минск,https://hh.ru/vacancy/49120378?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
41,Python разработчик начинающий,,ООО СМП-38,https://hh.ru/vacancy/49633385?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
42,Python Django developer,"{'a_min_salary': 110000, 'b_max_salary': 250000, 'x_currency': 'руб'}",ООО БОЛЬШАЯ ТРОЙКА,https://hh.ru/vacancy/48701378?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
43,Программист Python,,Билайн,https://hh.ru/vacancy/49182984?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
44,Python разработчик (Django),,HuskyJam,https://hh.ru/vacancy/49512323?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
45,Python Developer,"{'a_min_salary': 150000, 'b_max_salary': 350000, 'x_currency': 'руб'}",ООО АСД Технолоджиз,https://hh.ru/vacancy/49478392?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
46,Senior QA Automation Engineer (Python),"{'a_min_salary': 300000, 'b_max_salary': None, 'x_currency': 'руб'}",Scalable Solutions,https://hh.ru/vacancy/43394109?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
47,Senior data scientist / Strong middle data scientist,"{'a_min_salary': 500000, 'b_max_salary': 1000000, 'x_currency': 'KZT'}",ИП Шагиров О.А.,https://hh.ru/vacancy/49595415?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
48,Python Middle Developer,"{'a_min_salary': 120000, 'b_max_salary': 180000, 'x_currency': 'руб'}",ООО МКК Папазайм,https://hh.ru/vacancy/49241176?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
49,Middle QA Automation Engineer (Python),"{'a_min_salary': 180000, 'b_max_salary': 250000, 'x_currency': 'руб'}",Scalable Solutions,https://hh.ru/vacancy/47174810?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
50,Python-разработчик,"{'a_min_salary': 400000, 'b_max_salary': 750000, 'x_currency': 'KZT'}",Kolesa Group,https://hh.ru/vacancy/48073385?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
51,Python-разработчик,,ООО Хокинг Бразерс,https://hh.ru/vacancy/49691881?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
52,Lead Backend Developer (Python),"{'a_min_salary': 280000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Иглу,https://hh.ru/vacancy/48962437?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
53,Senior QA Automation Engineer (Python),"{'a_min_salary': 300000, 'b_max_salary': None, 'x_currency': 'руб'}",Scalable Solutions,https://hh.ru/vacancy/45114743?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
54,Python Backend,"{'a_min_salary': 500000, 'b_max_salary': 1000000, 'x_currency': 'KZT'}",ТОО ЦАТ IDSOFT,https://hh.ru/vacancy/49134101?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
55,Программист Python (Middle),"{'a_min_salary': 100000, 'b_max_salary': 160000, 'x_currency': 'руб'}",Открытые Технологии,https://hh.ru/vacancy/46205242?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
56,Разработчик Python/Django,"{'a_min_salary': 150000, 'b_max_salary': None, 'x_currency': 'руб'}",АО Концерн Энерготехнологии,https://hh.ru/vacancy/49051436?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
